City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,puerto varas,-41.3195,-72.9854,290.27,45,0,8.23,CL,1676839164
279,wanaka,-44.7,169.15,290.97,74,82,2.95,NZ,1676839159
280,nuuk,64.1835,-51.7216,261.97,92,100,4.84,GL,1676839166
281,liverpool,53.4106,-2.9779,282.2,85,40,4.12,GB,1676839166
282,atbasar,51.8,68.3333,266.17,95,100,6.04,KZ,1676839167
283,georgetown,5.4112,100.3354,299.11,94,20,1.03,MY,1676839167
284,mount isa,-20.7333,139.5,294.02,94,97,2.57,AU,1676839168
285,crestview,30.7621,-86.5705,295.32,40,0,2.57,US,1676839169
286,magadi,12.9667,77.2333,291.23,67,2,3.25,IN,1676839169
287,airai,-8.9266,125.4092,288.63,94,93,0.72,TL,1676839170
288,linqing,36.8456,115.7117,275.12,35,0,3.4,CN,1676839170
289,puerto carreno,6.189,-67.4859,308.14,38,20,4.63,CO,1676839171
290,berlevag,70.8578,29.0864,273.15,86,75,6.17,NO,1676839171
291,yar-sale,66.8333,70.8333,248.02,100,49,1.04,RU,1676839172
292,collie,-33.3667,116.15,288.05,85,0,4.0,AU,1676839172
293,luoyang,34.6836,112.4536,277.47,36,1,1.69,CN,1676839173
294,nsanje,-16.92,35.262,297.87,87,100,1.45,MW,1676839174
295,kenai,60.5544,-151.2583,271.01,94,100,2.57,US,1676839024
296,tarumovka,44.0761,46.5361,277.31,83,99,1.66,RU,1676839174
297,namatanai,-3.6667,152.4333,299.83,83,96,2.18,PG,1676839175
298,honiara,-9.4333,159.95,299.73,80,79,1.29,SB,1676839175
299,chamba,32.5667,76.1333,290.17,48,100,2.43,IN,1676839176
300,eau claire,44.8114,-91.4985,274.77,81,100,3.09,US,1676838910
301,naberera,-4.2,36.9333,292.5,64,24,7.51,TZ,1676839177
302,teahupoo,-17.8333,-149.2667,301.13,77,30,3.41,PF,1676839177
303,sioux lookout,50.1001,-91.917,259.19,61,75,6.17,CA,1676839178
304,quatre cocos,-20.2078,57.7625,300.21,88,100,8.53,MU,1676839179
305,nome,64.5011,-165.4064,260.19,78,100,3.09,US,1676839180
306,opuwo,-18.0607,13.84,290.29,47,94,3.31,NA,1676839180
307,yerbogachen,61.2767,108.0108,258.98,95,100,3.8,RU,1676839181
308,hirna,9.2167,41.1,286.91,30,25,0.89,ET,1676839181
309,iqaluit,63.7506,-68.5145,240.0,68,40,1.03,CA,1676839182
310,redmond,47.674,-122.1215,281.91,91,100,1.34,US,1676838953
311,makakilo city,21.3469,-158.0858,299.33,67,0,2.06,US,1676839183
312,acapulco,16.8634,-99.8901,304.05,51,0,7.72,MX,1676838899
313,socorro,31.6546,-106.3033,287.31,85,100,3.6,US,1676839184
314,port townsend,48.117,-122.7605,282.69,84,100,3.13,US,1676839184
315,porbandar,21.6422,69.6093,296.42,50,3,3.92,IN,1676839185
316,shache,38.4167,77.2406,274.35,45,100,0.37,CN,1676839186
317,nouakchott,18.0858,-15.9785,299.11,58,53,7.77,MR,1676839187
318,esperance,-33.8667,121.9,291.8,92,26,5.43,AU,1676839188
319,tamale,9.4008,-0.8393,302.89,13,80,2.87,GH,1676839188
320,wagga wagga,-35.1167,147.3667,291.4,38,0,1.46,AU,1676839189
321,erzin,36.9559,36.2,282.16,81,2,1.61,TR,1676839189
322,cayenne,4.9333,-52.3333,298.17,88,100,2.57,GF,1676839190
